Production Area,Machine,Competency,Max Score
Packaging,Bliss 4/2,Able to perform Bliss 4/2 PMS,3
Packaging,Bliss 4/2,Able to make adjustments to the set up of the machine (compression chamber timing etc.),3
Packaging,Bliss 4/2,Able to adjust the glue pattern on the Nordsson Unit,3
Packaging,Unloader,Able to perform Unloader PMS,3
Packaging,Unloader,Able to identify each step in the robot programme (e.g. pre vas pre sacche etc.),3
Packaging,Unloader,Able to modify and adjust robot position to improve robot performance,3
Packaging,Unloader,Carry out major repairs and set up of robot (Harness / motor replacement and subsequent calibration),3
Packaging,Casepacker,Able to perform casepacker PMs,3
Packaging,Casepacker,Able to adjust programme parameters such as ICS speed box position,3
Packaging,Casepacker,Able to adjust pick/place positions in the programme to improve casepacker performance,3
Packaging,Casepacker,Able to strip and refurbish the lower section of the casepacker including ICS/box chains and conveyors,3
Packaging,Casepacker,Able to strip and refurbish the upper section of the casepacker including the main upper gearboxes,3
Packaging,Casepacker,Able to replace and home the main motors as per the HMI,3
Packaging,Leaflet Inserter,Able to perform PMS on the leaflet inserters,3
Packaging,Leaflet Inserter,Able to strip and refurbish the main components of the leaflet inserter,3
Packaging,Leaflet Inserter,Able to adjust Cognex parameters during production to improve performance,3
Packaging,Taper,Able to perform PMs on the little david and lantech taper,3
Packaging,VideoJet Labeller,Able to perform PMs on the videoJet labeller,3
Packaging,VideoJet Labeller,Able to strip and replace all main components of the labeller competently,3
Packaging,Palletiser 2,Able to perform PMs on Palletiser 2,3
Packaging,Palletiser 2,Able to carry out a total reset of the palletiser,3
Packaging,Palletiser 2,Able to safely remove the layer table chains to carry out maintenance,3
